Filepath,File Name,Sample Type
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ10.mzML,AZ10,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ3.mzML,AZ3,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ2.mzML,AZ2,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ11.mzML,AZ11,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ9.mzML,AZ9,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ16.mzML,AZ16,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/blank_cell_end.mzML,blank_cell_end,Blank
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ5.mzML,AZ5,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ4.mzML,AZ4,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ17.mzML,AZ17,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ8.mzML,AZ8,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ18.mzML,AZ18,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ7.mzML,AZ7,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ14.mzML,AZ14,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ15.mzML,AZ15,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ6.mzML,AZ6,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ1.mzML,AZ1,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ12.mzML,AZ12,Unknown
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/blank_cell_start.mzML,blank_cell_start,Blank
/Users/mitchjo/Datasets/ForPCPFM/Bowen/CellData/AZ13.mzML,AZ13,Unknown
