Sample Type,File Name,Sample ID,Comment,Path,Instrument Method,Process Method,Position,Inj Vol,Filepath,Method,batch,file_no,instrument
unknown,MT_20210726_175,90300_3_249160_G3_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,G:D2,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch1_07262021_MT___MT_20210726_175.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,1,1981,IDX
unknown,MT_20210726_045,90036_6_249140_A1_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:C5,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch1_07262021_MT___MT_20210726_045.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,1,1849,IDX
unknown,MT_20210726_075,90087_1_249146_B3_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:E1,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch1_07262021_MT___MT_20210726_075.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,1,1879,IDX
unknown,MT_20210726_071,90087_3_249156_F6_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:D8,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch1_07262021_MT___MT_20210726_071.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,1,1875,IDX
unknown,MT_20210726_029,90025_3_249158_B8_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 1,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:B6,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch1_07262021_MT___MT_20210726_029.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,1,1833,IDX
unknown,MT_20210727_041,90042_1_249145_D4_001,2,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 2,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,R:C7,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch2_07272021_MT___MT_20210727_041.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,2,3891,IDX
unknown,MT_20210727_021,90015_7_249154_D3_001,2,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 2,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,R:B6,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch2_07272021_MT___MT_20210727_021.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,2,3871,IDX
unknown,MT_20210727_097,90107_2_249156_H3_001,2,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 2,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,R:F4,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch2_07272021_MT___MT_20210727_097.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,2,3949,IDX
unknown,MT_20210727_013,90013_7_249154_E1_001,2,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 2,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,R:B2,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch2_07272021_MT___MT_20210727_013.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,2,3863,IDX
unknown,MT_20210727_117,90135_3_249155_E7_001,2,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 2,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,B:A5,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch2_07272021_MT___MT_20210727_117.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,2,3969,IDX
unknown,MT_20210728_171,90293_2_249150_H6_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 3,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,G:D4,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch3_07292021_MT___MT_20210728_171.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,3,4211,IDX
unknown,MT_20210728_013,90035_6_249140_E8_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 3,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:B2,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch3_07292021_MT___MT_20210728_013.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,3,4051,IDX
unknown,MT_20210728_153,90258_2_249155_I1_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 3,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,G:C4,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch3_07292021_MT___MT_20210728_153.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,3,4193,IDX
unknown,MT_20210728_103,90182_2_249140_G5_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 3,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:F7,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch3_07292021_MT___MT_20210728_103.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,3,4143,IDX
unknown,MT_20210728_055,90086_2_249151_F5_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 3,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:D4,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch3_07292021_MT___MT_20210728_055.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,3,4093,IDX
unknown,MT_20210729_175,90250_1_249140_I5_001,2,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 4,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,B:D6,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch4_07302021_MT___MT_20210729_175.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,4,1567,IDX
unknown,MT_20210729_071,90060_1_249157_I4_001,2,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 4,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,R:E3,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch4_07302021_MT___MT_20210729_071.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,4,1457,IDX
unknown,MT_20210729_029,90006_2_249152_G9_001,2,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 4,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,R:C1,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch4_07302021_MT___MT_20210729_029.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,4,1415,IDX
unknown,MT_20210729_049,90030_6_249155_C2_001,2,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 4,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,R:D2,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch4_07302021_MT___MT_20210729_049.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,4,1435,IDX
unknown,MT_20210729_107,90103_1_249153_F3_001,2,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 4,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,R:F9,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch4_07302021_MT___MT_20210729_107.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,4,1499,IDX
unknown,MT_20210730_101,90215_7_249154_F9_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 5,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:F6,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch5_07302021_MT___MT_20210730_101.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,5,3565,IDX
unknown,MT_20210730_031,90059_1_249152_G8_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 5,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:C2,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch5_07302021_MT___MT_20210730_031.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,5,3489,IDX
unknown,MT_20210730_055,90080_6_249142_C8_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 5,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:D4,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch5_07302021_MT___MT_20210730_055.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,5,3513,IDX
unknown,MT_20210730_103,90215_3_249146_E9_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 5,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:F7,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch5_07302021_MT___MT_20210730_103.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,5,3567,IDX
unknown,MT_20210730_129,90242_2_249138_A3_001,1,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 5,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,G:B2,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch5_07302021_MT___MT_20210730_129.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,5,3593,IDX
unknown,MT_20210731_109,90142_6_249159_I6_001,6,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 6,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,B:A1,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch6_07312021_MT___MT_20210731_109.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,6,535,IDX
unknown,MT_20210731_065,90079_3_249147_H7_001,6,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 6,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,R:D9,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch6_07312021_MT___MT_20210731_065.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,6,485,IDX
unknown,MT_20210731_019,90003_6_249140_F8_001,6,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 6,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,R:B5,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch6_07312021_MT___MT_20210731_019.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,6,439,IDX
unknown,MT_20210731_045,90055_6_249141_A8_001,6,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 6,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,R:C9,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch6_07312021_MT___MT_20210731_045.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,6,465,IDX
unknown,MT_20210731_037,90031_1_249153_H5_001,6,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 6,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,R:C5,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch6_07312021_MT___MT_20210731_037.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,6,457,IDX
unknown,MT_20210801_043,90033_6_249148_C3_001,7,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 7,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:C8,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch7_08012021_MT___MT_20210801_043.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,7,1641,IDX
unknown,MT_20210801_055,90076_1_249153_I2_001,7,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 7,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:D4,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch7_08012021_MT___MT_20210801_055.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,7,1653,IDX
unknown,MT_20210801_057,90108_1_249141_D2_001,7,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 7,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:D5,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch7_08012021_MT___MT_20210801_057.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,7,1655,IDX
unknown,MT_20210801_099,90147_3_249157_F5_001,7,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 7,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:F5,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch7_08012021_MT___MT_20210801_099.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,7,1703,IDX
unknown,MT_20210801_015,90002_1_249144_I4_001,7,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 7,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,Y:B3,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch7_08012021_MT___MT_20210801_015.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,7,1613,IDX
unknown,MT_20210802_161,90267_6_249142_A2_001,8,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 8,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,B:C8,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch8_08022021_MT___MT_20210802_161.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,8,2797,IDX
unknown,MT_20210802_041,90049_3_249152_F9_001,8,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 8,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,R:C7,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch8_08022021_MT___MT_20210802_041.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,8,2671,IDX
unknown,MT_20210802_181,90287_1_249150_C7_001,8,D:\IDX_Data\Maheshwor\Proj-201-Li-20210607-ZosterVac_ImmunoMetabolomics\HILIC_posRPneg\Batch 8,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,,B:D9,2,/Users/mitchjo/Documents/pcpfm_submission/supplemental/RO1_plasma_mzml/raw_batch8_08022021_MT___MT_20210802_181.mzML,C:\Xcalibur\methods\MT\Metabolomics_Method\20210212_MT_HILIC_pos120Kres5min,8,2817,IDX
